pmid	file_path:line	cited_author	cited_year	cited_journal	pubmed_author	pubmed_year	pubmed_journal	status	suggested_correction_pmid	severity
29897841	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/mechanistic_interpretation.md:63	Sridhar	2018		Sridhar	2018	N Engl J Med	OK		minor
23563266	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:23	Bhatt	2013		Bhatt	2013	Nature	OK		minor
29897841	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:23	Sridhar	2018		Sridhar	2018	N Engl J Med	OK		minor
38245116	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:23	Tricou	2024	Lancet Glob Health	Tricou	2024	Lancet Glob Health	OK		minor
38294972	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:23	Kallas	2024	N Engl J Med	Kallás	2024	N Engl J Med	OK		minor
16545123	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:42	Bui	2006		Bui	2006	BMC Bioinformatics	OK		minor
12759475	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:54	Modis	2003		Modis	2003	Proc Natl Acad Sci U S A	OK		minor
22139356	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:54	Cockburn	2012	EMBO J	Cockburn	2012	EMBO J	OK		minor
25581790	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:58	Rouvinski	2015	Nature	Rouvinski	2015	Nature	OK		minor
26104444	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:99	Halstead	2014	Microbiol Spectr	Halstead	2014	Microbiol Spectr	OK		minor
23563266	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:142			Nature	Bhatt	2013	Nature	OK		minor
29897841	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:143			N Engl J Med	Sridhar	2018	N Engl J Med	OK		minor
38245116	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:144			Lancet Glob Health	Tricou	2024	Lancet Glob Health	OK		minor
38294972	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:145			N Engl J Med	Kallás	2024	N Engl J Med	OK		minor
12759475	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:148			Proc Natl Acad Sci U S A	Modis	2003	Proc Natl Acad Sci U S A	OK		minor
22139356	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:149			EMBO J	Cockburn	2012	EMBO J	OK		minor
25581790	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:150			Nature	Rouvinski	2015	Nature	OK		minor
26104444	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:151			Microbiol Spectr	Halstead	2014	Microbiol Spectr	OK		minor
16545123	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:152			BMC Bioinformatics	Bui	2006	BMC Bioinformatics	OK		minor
31552052	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:153			Front Immunol	Tian	2019	Front Immunol	OK		minor
22880140	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:154			PLoS Negl Trop Dis	Brady	2012	PLoS Negl Trop Dis	OK		minor
31996463	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:155			Sci Transl Med	Cattarino	2020	Sci Transl Med	OK		minor
26874619	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:156			Lancet Infect Dis	Stanaway	2016	Lancet Infect Dis	OK		minor
24618469	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:162			Bioinformatics	Vander Heiden	2014	Bioinformatics	OK		minor
19029902	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:163			Nat Immunol	Querec	2009	Nat Immunol	OK		minor
21739672	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:164			Nat Immunol	Wherry	2011	Nat Immunol	OK		minor
15218094	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:165			Science	Smith	2004	Science	OK		minor
26383952	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:166			Science	Katzelnick	2015	Science	OK		minor
16545123	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/supplementary/population_coverage_v2.md:10	Bui	2006	BMC Bioinformatics	Bui	2006	BMC Bioinformatics	OK		minor
PMC9277059	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:159	Que TT			Que TN			MISMATCH_INITIALS	35844516	major
PMC7618281	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:160	Barton EA			Barton A			MISMATCH_INITIALS	36335052	major
PMC12766644	/Users/jamesweatherhead/Desktop/dengue-fork/outputs/manuscript/dengue_npj_vaccines_FINAL.md:161	Muñoz CB			Muñoz AL			MISMATCH_INITIALS	41497982	major
